,name,symbol,2,3,4
0,Abercrombie & Fitch Co.,ANF,4594.35,08/28,07/31
1,Altria Group Inc,MO,111648.4,08/28,06/30
2,AMC Networks Inc,AMCX,306.28,08/28,06/30
3,Atara Biotherapeutics Inc,ATRA,86.25,08/28,06/30
4,biote Corp,BTMD,109.97,08/28,06/30
5,Brookfield Business Corp,BBUC,2455.5,08/28,06/30
6,Bumble Inc,BMBL,658.02,08/28,06/30
7,Catalyst Pharmaceutical Inc,CPRX,2494.23,08/28,06/30
8,Consensus Cloud Solutions Inc,CCSI,509.76,08/28,06/30
9,Crocs Inc,CROX,4728.69,08/28,06/30
10,CytomX Therapeutics Inc,CTMX,338.07,08/28,06/30
11,Fox Corp,FOXA,26539.14,08/28,06/30
12,Franklin Covey Co.,FC,248.54,08/28,05/31
13,GAMBLING.COM GROUP LIMITED,GAMB,306.42,08/28,06/30
14,Getty Images Holdings Inc,GETY,759.08,08/28,06/30
15,GigaCloud Technology Inc,GCT,983.84,08/28,06/30
16,H&R Block Inc,HRB,6714.76,08/28,06/30
17,Harmony Biosciences Holdings Inc,HRMY,2184.72,08/28,06/30
18,Heidrick & Struggles International Inc,HSII,1045.87,08/28,06/30
19,HP Inc,HPQ,26711.62,08/28,07/31
20,Innoviva Inc,INVA,1262.11,08/28,06/30
21,Interpublic Group of Cos Inc (The),IPG,9741.85,08/28,06/30
22,Ironwood Pharmaceuticals Inc,IRWD,214.41,08/28,06/30
23,J Jill Inc,JILL,260.73,08/28,04/30
24,Korn Ferry,KFY,3852.66,08/28,04/30
25,Lantheus Holdings Inc,LNTH,3773.28,08/28,06/30
26,NL Industries Inc.,NL,322.5,08/28,06/30
27,Omnicom Group Inc,OMC,15169.17,08/28,06/30
28,OneSpan Inc,OSPN,568.03,08/28,06/30
29,Owens & Minor Inc.,OMI,382.9,08/28,06/30
30,Pediatrix Medical Group Inc,MD,1468.1,08/28,06/30
31,Perdoceo Education Corp,PRDO,2133.71,08/28,06/30
32,Pitney Bowes Inc.,PBI,2109.67,08/28,06/30
33,Playtika Holding Corp,PLTK,1388.55,08/28,06/30
34,PTC Therapeutics Inc,PTCT,3952.23,08/28,06/30
35,Puma Biotechnology Inc,PBYI,247.97,08/28,06/30
36,Regis Corp,RGS,51.08,08/28,03/31
37,Resolute Holdings Management,RHLD,575.42,08/28,06/30
38,Rigel Pharmaceuticals Inc,RIGL,705.1,08/28,06/30
39,Rimini Street Inc,RMNI,400.54,08/28,06/30
40,SBC Medical Group Holdings Inc,SBC,420.64,08/28,06/30
41,Shutterstock Inc,SSTK,733.25,08/28,06/30
42,SIGA Technologies Inc,SIGA,587.34,08/28,06/30
43,Sirius XM Holdings Inc,SIRI,7875.69,08/28,06/30
44,TEGNA Inc,TGNA,3416.75,08/28,06/30
45,Travelzoo,TZOO,108.37,08/28,06/30
46,Unisys Corp,UIS,279.47,08/28,06/30
47,WW International Inc,WW,327.5,08/28,06/30
48,Xponential Fitness Inc,XPOF,292.93,08/28,06/30
49,Yelp Inc,YELP,1997.59,08/28,06/30
